On iwillvote.com?,Form complete?,Muni,AbsenteeLocation,Address,FromDate,ToDate,AdditionalInstructions
,,TOWN OF WOODBORO - ONEIDA COUNTY,Town Hall,"8672 ART THOMPSON RD, HARSHAW, WI 54529-9552",9/22/2020,11/3/2020,
,,TOWN OF WOODMOHR - CHIPPEWA COUNTY,Town Hall,"16738 125TH ST, BLOOMER, WI 54724",9/17/2020,11/3/2020,
,,TOWN OF WOODRUFF - ONEIDA COUNTY,Woodruff Town Hall,"1418 1ST AVE, WOODRUFF, WI 54568-9470",9/20/2020,11/3/2020,The secure drop box is located just outside the main entrance of the town office.
,,VILLAGE OF ALBANY - GREEN COUNTY,Albany Village Hall,"206 N WATER ST, ALBANY, WI 53502-9430",9/29/2020,11/3/2020,
,,VILLAGE OF BALDWIN - ST. CROIX COUNTY,Baldwin Municipal Building,"400 CEDAR ST, BALDWIN, WI 54002",9/21/2020,11/3/2020,
,,VILLAGE OF BARNEVELD - IOWA COUNTY,Barneveld-Brigham Municipal Building,"407 COUNTY ROAD ID, BARNEVELD, WI 53507",9/17/2020,11/3/2020,
,,VILLAGE OF BELGIUM - OZAUKEE COUNTY,Belgium Village Hall,"104 PETER THEIN AVE, BELGIUM, WI 53004-9520",9/17/2020,11/3/2020,The drop box is checked daily by Village staff.
,,VILLAGE OF BELLEVUE - BROWN COUNTY,Bellevue Village Office,"2828 ALLOUEZ AVE, GREEN BAY, WI 54311",9/17/2020,11/3/2020,
,,VILLAGE OF BIRON - WOOD COUNTY,Biron Dropbox,"451 KAHOUN RD, WISCONSIN RAPIDS, WI 54494-8252",9/21/2020,11/3/2020,Dropbox will be checked the final time on Election Day evening at 7:55 p.m.
,,VILLAGE OF BLACK EARTH - DANE COUNTY,Black Earth Village Office,"1210 MILLS ST, BLACK EARTH, WI 53515-9463",9/18/2020,11/3/2020,
,,VILLAGE OF BLANCHARDVILLE - MULTIPLE COUNTIES,Dropbox Village Hall,"208 MASON ST, BLANCHARDVILLE, WI 53516",9/21/2020,11/3/2020,Dropbox is secure and located at the entrance door to Village Hall at the top of the ramp.  
,,VILLAGE OF BLOOMFIELD - WALWORTH COUNTY,Bloomfield Town Hall,"N1100 COUNTY ROAD H, GENOA CITY, WI 53128-1309",9/30/2020,11/3/2020,
,,VILLAGE OF BOYD - CHIPPEWA COUNTY,Village Hall,"705 E MURRAY ST, BOYD, WI 54726-9068",9/17/2020,11/3/2020,Ballots can be placed in mail slot in front door of Village Hall
,,VILLAGE OF BROOKLYN - MULTIPLE COUNTIES,Village of Brooklyn Clerk's Office,"210 COMMERCIAL ST, BROOKLYN, WI 53521",9/17/2020,11/3/2020,Dropbox is located outside the Clerk's Office between the office and the USPS building.   
,,VILLAGE OF BROWNTOWN - GREEN COUNTY,Browntown Village Hall,"110 S MILL ST, BROWNTOWN, WI 53522-9540",9/29/2020,11/3/2020,
,,VILLAGE OF BUTLER - WAUKESHA COUNTY,Village Hall,"12621 W HAMPTON AVE, BUTLER, WI 53007-1705",9/23/2020,11/3/2020,
,,VILLAGE OF BUTTERNUT - ASHLAND COUNTY,Village of Butternut Hall,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782",10/20/2020,11/3/2020,Available until 8pm 11/03/2020
,,VILLAGE OF CADOTT - CHIPPEWA COUNTY,Village Hall,"110 N CENTRAL ST, CADOTT, WI 54727-9143",9/17/2020,11/3/2020,
,,VILLAGE OF CALEDONIA - RACINE COUNTY,Caledonia Village Hall,"5043 CHESTER LN, RACINE, WI 53402-5203",9/21/2020,11/3/2020,The dropbox is located outside the front door of Village Hall
,,VILLAGE OF CAMPBELLSPORT - FOND DU LAC COUNTY,Village of Campbellsport Drop Box,"470 GRANDVIEW AVE, CAMPBELLSPORT, WI 53010",9/21/2020,11/3/2020,The drop box is emptied daily and is monitored by security cameras and our police dept.
,,VILLAGE OF CHENEQUA - WAUKESHA COUNTY,Village Hall,"31275 COUNTY ROAD K, HARTLAND, WI 53029",9/23/2020,11/3/2020,
,,VILLAGE OF CLEVELAND - MANITOWOC COUNTY,Cleveland Village Hall,"1150 W WASHINGTON AVE, CLEVELAND, WI 53015-1423",9/15/2020,11/3/2020,
,,VILLAGE OF CLINTON - ROCK COUNTY,Drop Box,"301 CROSS ST, CLINTON, WI 53525-9786",9/23/2020,11/3/2020,
,,VILLAGE OF COTTAGE GROVE - DANE COUNTY,Village of Cottage Grove Hall,"221 E COTTAGE GROVE RD, COTTAGE GROVE, WI 53527-9619",9/17/2020,11/3/2020,Dropbox is located to the right of the door- you will see a sign
,,VILLAGE OF DEFOREST - DANE COUNTY,DeForest Village Hall,"120 S STEVENSON ST, DE FOREST, WI 53532",11/3/2020,11/3/2020,"On Election Day, there will be boxes at the front door of both polling locations for your ballots to be returned.  Make sure you return your ballot by 8:00 PM for it to be counted!"
,,VILLAGE OF DENMARK - BROWN COUNTY,Denmark Village Hall,"118 E MAIN ST, DENMARK, WI 54208",9/17/2020,11/3/2020,"The last pick up from the dropbox for delivery to the polls will be November 3, at 7:45PM"
,,VILLAGE OF DRESSER - POLK COUNTY,Village of Dresser Municipal Office,"102 W MAIN ST, DRESSER, WI 54009-9043",9/25/2020,11/3/2020,"Drop Box Located on North Side of Building - Sign says ""Village of Dresser Drop Box"""
,,VILLAGE OF EAGLE - WAUKESHA COUNTY,Eagle Village Municipal Building Drop Box,"820 E MAIN ST, EAGLE, WI 53119-2143",9/23/2020,11/3/2020,
,,VILLAGE OF ELEVA - TREMPEALEAU COUNTY,Village of Eleva Clerk's Office,"25952 E MONDOVI ST, ELEVA, WI 54738-9450",9/17/2020,11/3/2020,Drop box is located to the right of the Clerk's door - white mailbox.
,,VILLAGE OF ELMWOOD - PIERCE COUNTY,VILLAGE AUDITORIUM,"323 W WINTER AVE, ELMWOOD, WI 54740-8710",9/29/2020,11/3/2020,DROP BOX IS IN USE YEAR ROUND FOR ABSENTEE BALLOTS
,,VILLAGE OF FOOTVILLE - ROCK COUNTY,Drop Box-Footville Municipal Office,"261 N GILBERT ST, FOOTVILLE, WI 53537",9/1/2020,11/3/2020,None
,,VILLAGE OF FREDERIC - POLK COUNTY,Frederic Village Hall,"110 OAK ST E, FREDERIC, WI 54837",9/17/2020,11/3/2020,Dropbox is located to the left of the main door.
,,VILLAGE OF FREDONIA - OZAUKEE COUNTY,Fredonia Municipal Hall,"242 FREDONIA AVE, FREDONIA, WI 53021",10/2/2020,11/3/2020,
,,VILLAGE OF GAYS MILLS - CRAWFORD COUNTY,Village Office,"16381 STATE HIGHWAY 131, GAYS MILLS, WI 54631-7330",9/23/2020,11/3/2020,Dropbox is located on North Side of building on Village Office side
,,VILLAGE OF GENOA CITY - MULTIPLE COUNTIES,VILLAGE HALL,"755 FELLOWS RD, GENOA CITY, WI 53128-9803",9/1/2020,11/3/2020,LARGER DRIVE-UP DROP BOX AVAILABLE IN PARKING LOT. BALLOTS ARE GATHERED BY STAFF THROUGH-OUT THE DAY FROM THE DROP BOXES!
,,VILLAGE OF GERMANTOWN - WASHINGTON COUNTY,Germantown Village Hall,"N112W17001 MEQUON RD, GERMANTOWN, WI 53022-3212",9/20/2020,11/3/2020,"Absentee Ballots may be placed in the secure drop box located at Village Hall, to the right of the main doors under the clock tower.  "
,,VILLAGE OF GREENDALE - MILWAUKEE COUNTY,Village Hall Drop Box,"6500 NORTHWAY, GREENDALE, WI 53129",9/17/2020,11/3/2020,
,,VILLAGE OF HAMMOND - ST. CROIX COUNTY,Village of Hammond Hall,"455 DAVIS ST APT 108, HAMMOND, WI 54015",9/21/2020,11/3/2020,
,,VILLAGE OF HARRISON - MULTIPLE COUNTIES,Harrison Municipal Building,"W5298 HWY 114, MENASHA, WI 54952",9/21/2020,11/3/2020,
,,VILLAGE OF HARTLAND - WAUKESHA COUNTY,Hartland Library,"110 E PARK AVE, HARTLAND, WI 53029",10/5/2020,11/3/2020,Drop box located near exit from parking lot.
,,VILLAGE OF HARTLAND - WAUKESHA COUNTY,Hartland Village Hall,"210 COTTONWOOD AVE, HARTLAND, WI 53029-2017",10/5/2020,11/3/2020,Drop box is located next to front door to Village Hall.
,,VILLAGE OF HEWITT - WOOD COUNTY,Hewitt Administrative Building,"11064 MAIN ST, HEWITT, WI 54441",9/21/2020,11/3/2020,Use the Night Depository slot on the south side of the building.
,,VILLAGE OF HOBART - BROWN COUNTY,St. Joseph's Church,"145 SAINT JOSEPH DR, HOBART, WI 54155",11/3/2020,11/3/2020,Please bring ballot into the polling location on election day and give to an election worker.
,,VILLAGE OF HOLMEN - LA CROSSE COUNTY,Holmen Village Hall,"421 S MAIN ST, HOLMEN, WI 54636-9607",10/1/2020,11/3/2020,
,,VILLAGE OF HORTONVILLE - OUTAGAMIE COUNTY,Hortonville Community Center,"531 N NASH ST, HORTONVILLE, WI 54944-9776",9/18/2020,11/3/2020,
,,VILLAGE OF HOWARD - MULTIPLE COUNTIES,Howard Village Hall,"2456 GLENDALE AVE, GREEN BAY, WI 54313-6502",9/18/2020,11/3/2020,
,,VILLAGE OF IRONTON - SAUK COUNTY,Village Hall Dropbox,"600 STATE ST, LA VALLE, WI 53941-9063",9/17/2020,11/3/2020,"Dropbox is on the rear side of the building, next to the door."
,,VILLAGE OF JACKSON - WASHINGTON COUNTY,VILLAGE HALL,"N168W20733 MAIN ST, JACKSON, WI 53037-9381",9/23/2020,11/3/2020,
,,VILLAGE OF KEKOSKEE - DODGE COUNTY,Kekoskee & Williamstown Hall,"W3275 COUNTY ROAD TW, MAYVILLE, WI 53050-2025",10/1/2020,11/3/2020,Use our locked mailbox on Hwy TW next to the Hall drive.  It is labeled VILLAGE.
,,VILLAGE OF KELLNERSVILLE - MANITOWOC COUNTY,Kellnersville Community Center,"628 PARK STREET, KELLNERSVILLE, WI 54215",9/17/2020,11/3/2020,The drop box is located inside of the Community Center on the right side of the door of the Village Hall Office.  
,,VILLAGE OF KOHLER - SHEBOYGAN COUNTY,Kohler Village Hall,"319 HIGHLAND DR, KOHLER, WI 53044-1513",9/17/2020,11/3/2020,
,,VILLAGE OF LAKE HALLIE - CHIPPEWA COUNTY,Village Hall,"13136 30TH AVE, CHIPPEWA FALLS, WI 54729-7377",9/24/2020,11/3/2020,Located at the front door of the Village Hall.
,,VILLAGE OF LAKE NEBAGAMON - DOUGLAS COUNTY,The Auditorium,"11596 E WATERFRONT DR, LAKE NEBAGAMON, WI 54849-6001",9/21/2020,11/3/2020,"Ballots accepted until 7:50PM on Election Day (November 3, 2020)."
,,VILLAGE OF MAZOMANIE - DANE COUNTY,Mazomanie Municipal Building,"133 CRESCENT ST, MAZOMANIE, WI 53560-9665",9/17/2020,11/3/2020,
,,VILLAGE OF MCFARLAND - DANE COUNTY,Village of McFarland Drop Box,"5915 MILWAUKEE ST, MC FARLAND, WI 53558-8962",9/16/2020,11/3/2020,"Drop Box will close at 8:00 p.m. on Tuesday, November 3, 2020.  Ballots placed in the box after this time can not be counted."
,,VILLAGE OF MILLTOWN - POLK COUNTY,Village Office,"89 MAIN ST W, MILLTOWN, WI 54858",9/21/2020,11/3/2020,Drop Box located to right of front entrance to Village Office.
,,VILLAGE OF MONTICELLO - GREEN COUNTY,Village of Monticello Clerk's Office,"140 N MAIN ST, MONTICELLO, WI 53570-9809",9/17/2020,11/3/2020,Ballots can be put in the drop slot in the entryway to the Clerk's Office.
,,VILLAGE OF MUKWONAGO - MULTIPLE COUNTIES,Village Hall Drop Box,"440 RIVERCREST CT, MUKWONAGO, WI 53149-1759",9/1/2020,11/3/2020,
,,VILLAGE OF NASHOTAH - WAUKESHA COUNTY,Village Hall Dropbox,"N44W32950 WATERTOWN PLANK RD, NASHOTAH, WI 53058-9703",9/16/2020,11/3/2020,DROP BOX LOCATED IN FRONT OF VILLAGE HALL. BE SURE THE CERTIFICATION IS COMPLETE: VOTER SIGNATURE/DATE/WITNESS SIGNATURE & ADDRESS OF WITNESS.
,,VILLAGE OF NEW AUBURN - MULTIPLE COUNTIES,Village Hall,"130 E ELM ST, NEW AUBURN, WI 54757",9/17/2020,11/3/2020,Located on the front of the building.
,,VILLAGE OF NEW GLARUS - GREEN COUNTY,New Glarus Village Hall,"319 2ND ST, NEW GLARUS, WI 53574-9338",9/21/2020,11/3/2020,"Drop Box located outside front door.  Available now thru Election Day, November 3rd at 8 p.m."
,,VILLAGE OF NORTH BAY - RACINE COUNTY,Village Hall,"3615 HENNEPIN PL, RACINE, WI 53402-3613",9/18/2020,11/3/2020,
,,VILLAGE OF NORTH HUDSON - ST. CROIX COUNTY,North Hudson Village Hall,"400 7TH ST N, HUDSON, WI 54016-1166",9/21/2020,11/3/2020,
,,VILLAGE OF OLIVER - DOUGLAS COUNTY,Village of Oliver Drop Box,"2125 E STATE ST, SUPERIOR, WI 54880-8145",10/2/2020,11/3/2020,"*Drop location is a mail slot next to the office door.  Ballots accepted until 7AM on Election Day (November 3, 2020)."
,,VILLAGE OF OOSTBURG - SHEBOYGAN COUNTY,Oostburg Municipal Office,"1140 MINNESOTA AVE, OOSTBURG, WI 53070-1221",9/20/2020,11/3/2020,
,,VILLAGE OF OREGON - DANE COUNTY,Oregon Village Hall Municipal Parking Lot,"117 SPRING ST, OREGON, WI 53575-1451",9/1/2020,11/3/2020,The drop-box is located in the municipal parking lot south of Village Hall.  You may drive up to it without exiting your vehicle.  This drop-box is for Village of Oregon voters only.  In order for ballots to be counted they must be delivered to the polling location by 8:00 p.m. on Election Day.
,,VILLAGE OF ORFORDVILLE - ROCK COUNTY,Village Hall,"303 E BELOIT ST, ORFORDVILLE, WI 53576-9792",9/29/2020,11/3/2020,To left of entrance
,,VILLAGE OF OSCEOLA - POLK COUNTY,Village Hall,"310 CHIEFTAIN ST, OSCEOLA, WI 54020",9/23/2020,11/3/2020,East Side of Building
,,VILLAGE OF OXFORD - MARQUETTE COUNTY,Village Hall Drop Box,"129 S FRANKLIN AVE, OXFORD, WI 53952-0122",9/17/2020,11/3/2020,DROPBOX IS LOCATED UNDERNEATH THE BULLETIN BOARD NEXT TO THE VILLAGE HALL FRONT DOOR.
,,VILLAGE OF PADDOCK LAKE - KENOSHA COUNTY,PADDOCK LAKE VILLAGE HALL,"6969 236TH AVE, SALEM, WI 53168-9624",9/23/2020,11/3/2020,
,,VILLAGE OF PALMYRA - JEFFERSON COUNTY,Palmyra Village Hall,"100 W TAFT ST, PALMYRA, WI 53156-0380",9/23/2020,11/3/2020,Put your sealed ballot envelope in our drop box in the window of the Clerk's office at front door. 
,,VILLAGE OF PEWAUKEE - WAUKESHA COUNTY,Drop Box,"235 HICKORY ST, PEWAUKEE, WI 53072-3533",9/27/2020,11/3/2020,Voters may deposit their ballots until 8pm on election day. 
,,VILLAGE OF PRAIRIE DU SAC - SAUK COUNTY,Village Hall,"335 GALENA ST, PRAIRIE DU SAC, WI 53578-1008",9/21/2020,11/3/2020,
,,VILLAGE OF PULASKI - MULTIPLE COUNTIES,Pulaski Village Hall,"585 E GLENBROOK DR, PULASKI, WI 54162-9769",9/17/2020,11/3/2020,Dropbox is located just outside of the main entrance
,,VILLAGE OF RIDGEWAY - IOWA COUNTY,Ridgeway Village Hall/Fire Station,"113 DOUGHERTY CT, RIDGEWAY, WI 53582-9778",9/22/2020,11/3/2020,
,,VILLAGE OF ROCHESTER - RACINE COUNTY,Rochester Village Hall,"300 W SPRING ST, ROCHESTER, WI 53167-0065",9/29/2020,11/3/2020,Drop box is located by the front entrance and is checked multiple times a day. 
,,VILLAGE OF ROSENDALE - FOND DU LAC COUNTY,Village Hall,"211 N GRANT ST, ROSENDALE, WI 54974-9802",9/17/2020,11/3/2020,
,,VILLAGE OF SIREN - BURNETT COUNTY,Siren Village Hall,"24049 1ST AVE, SIREN, WI 54872",9/21/2020,11/3/2020,
,,VILLAGE OF SOLON SPRINGS - DOUGLAS COUNTY,Solon Spring Community Center Absentee Ballot Drop Box,"11523 S BUS HIGHWAY 53, SOLON SPRINGS, WI 54873",9/16/2020,11/3/2020,"Ballots accepted until 8pm on Election Day (November 3, 2020)."
,,VILLAGE OF SPRING GREEN - SAUK COUNTY,Village Office Drop Bos,"154 N LEXINGTON ST, SPRING GREEN, WI 53588",9/17/2020,11/3/2020,
,,VILLAGE OF STETSONVILLE - TAYLOR COUNTY,Drop Box,"105 N GERSHWIN ST, STETSONVILLE, WI 54480-9562",10/5/2020,11/3/2020,
,,VILLAGE OF STURTEVANT - RACINE COUNTY,Village of Sturtevant,"2801 89TH ST, STURTEVANT, WI 53177-2542",9/21/2020,11/3/2020,
,,VILLAGE OF SUAMICO - BROWN COUNTY,Municipal Services Center,"12781 VELP AVE, SUAMICO, WI 54313-8030",9/21/2020,11/3/2020,
,,VILLAGE OF SUPERIOR - DOUGLAS COUNTY,Village Hall Parking Lot,"6702 OGDEN AVE, SUPERIOR, WI 54880-6012",10/26/2020,11/3/2020,Witnessing available at this location DURING OFFICE HOURS 7AM TO 3 PM
,,VILLAGE OF VALDERS - MANITOWOC COUNTY,Village Office,"207 S LIBERTY ST, VALDERS, WI 54245-9566",9/21/2020,11/3/2020,
,,VILLAGE OF WATERFORD - RACINE COUNTY,Waterford Village Hall,"125 N RIVER ST, WATERFORD, WI 53185",9/16/2020,11/3/2020,Please place your absentee ballot in the white Dropbox which is located on the opposite side (west side) of the street from our front doors. Feel free to visit MyVote.wi.gov to verify the receipt status of your ballot.
,,VILLAGE OF WEST MILWAUKEE - MILWAUKEE COUNTY,West Milwaukee Village Hall,"4755 W BELOIT RD, WEST MILWAUKEE, WI 53214",9/18/2020,11/3/2020,
,,VILLAGE OF WESTON - MARATHON COUNTY,Dropbox outside Weston Municipal Center,"5500 SCHOFIELD AVE, WESTON, WI 54476-4333",9/22/2020,11/3/2020,"Ballots must be returned no later than 8:00 p.m. on November 3, 2020."
,,VILLAGE OF WHITEFISH BAY - MILWAUKEE COUNTY,Whitefish Bay Village Hall,"5300 N MARLBOROUGH DR, WHITEFISH BAY, WI 53217-5344",9/21/2020,11/3/2020,24 dropbox is located between the front doors of Village Hall. 
,,VILLAGE OF WILLIAMS BAY - WALWORTH COUNTY,WILLIAMS BAY VILLAGE HALL,"250 WILLIAMS ST, WILLIAMS BAY, WI 53191-9510",9/17/2020,11/3/2020,THE FIRST SET OF DOORS TO VILLAGE HALL ARE OPEN 24/7 AND THERE IS A BLACK SECURE DROPBOX MOUNTED ON THE WALL IN THE FOYER. BALLOTS CAN BE PLACED INSIDE THIS DROPBOX WHICH IS CHECKED MULTIPLE TIMES A DAY DURING NORMAL BUSINESS HOURS. 
,,VILLAGE OF WINDSOR - DANE COUNTY,Windsor Municipal Building,"4084 MUELLER RD, DE FOREST, WI 53532-2332",9/18/2020,11/3/2020,
,,VILLAGE OF WINTER - SAWYER COUNTY,Village Hall,"6593 W HAZEL ST, WINTER, WI 54896-6101",9/23/2020,11/3/2020,
,,VILLAGE OF WOODVILLE - ST. CROIX COUNTY,Pioneer Building,"102 S MAIN ST, WOODVILLE, WI 54028-9544",9/30/2020,11/3/2020,
,,VILLAGE OF WRIGHTSTOWN - MULTIPLE COUNTIES,Wrightstown Village Hall,"352 HIGH ST, WRIGHTSTOWN, WI 54180-1130",9/16/2020,11/3/2020,
,,CITY OF ALGOMA - KEWAUNEE COUNTY,Algoma City Hall,"416 FREMONT ST, ALGOMA, WI 54201-1353",9/28/2020,11/2/2020,
,,CITY OF ALTOONA - EAU CLAIRE COUNTY,Altoona City Hall,"1303 LYNN AVE, ALTOONA, WI 54720-1942",9/17/2020,11/2/2020,The RED drop box is located just to the right of the City Hall front entrance.
,,CITY OF ANTIGO - LANGLADE COUNTY,Fire Department Entrance - Fourth Avenue (South Side of City Hall),"700 EDISON ST, ANTIGO, WI 54409-1955",9/22/2020,11/2/2020,"This is a drop slot in the building by the Fire Department entrance on the south side of City Hall, 700 Edison Street, off of Fourth Avenue"
,,CITY OF BERLIN - MULTIPLE COUNTIES,Berlin City Hall,"108 N CAPRON ST, BERLIN, WI 54923",9/23/2020,11/2/2020,This dropbox is under 24 hours video surveillance. 
,,CITY OF DARLINGTON - LAFAYETTE COUNTY,Johnson Public Library Book Drop,"131 E CATHERINE ST, DARLINGTON, WI 53530",9/17/2020,11/2/2020,Ballots may be dropped off in the Book Drop Box in the drive-thru of the Library
,,CITY OF KEWAUNEE - KEWAUNEE COUNTY,Kewaunee City Hall,"401 5TH ST, KEWAUNEE, WI 54216-1838",9/28/2020,11/2/2020,
,,CITY OF MADISON - DANE COUNTY,City Clerk's Office,"210 MARTIN LUTHER KING JR BLVD, MADISON, WI 53703-3340",9/21/2020,11/2/2020,"The building is closed, but you can drop off your absentee ballot with the election official at the door.  Go to the door the farthest to the right as you are facing the building, and the election official will meet you there.  Check your absentee status as soon as you return home by visiting https://myvote.wi.gov."
,,CITY OF MADISON - DANE COUNTY,Fire Station 1,"316 W DAYTON ST, MADISON, WI 53703-2506",10/16/2020,11/2/2020,"Box is located just east of the main driveway.  Boxes will be locked at 5 p.m. Monday, November 2. If returning your absentee ballot on Election Day, bring it directly to your polling place."
,,CITY OF MADISON - DANE COUNTY,Fire Station 10,"1517 TROY DR, MADISON, WI 53704",10/16/2020,11/2/2020,"Box is located on north side of station near the intersection of Troy Dr and Hanover St.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 11,"4011 MORGAN WAY, MADISON, WI 53718-6395",10/16/2020,11/2/2020,"Box is located behind station on east side of Crossing Pl between station driveway and intersection of Crossing Pl and Nelson Rd.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 12,"400 SOUTH POINT RD, VERONA, WI 53593",10/16/2020,11/2/2020,"Box is located just north of station on South Point Rd near intersection of South Point Rd and Briar Haven Dr.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 13,"6350 TOWN CENTER DR, MADISON, WI 53718",10/16/2020,11/2/2020,"Box is located just east of station driveway on north side of Town Center Dr.  Box will be closed at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 14,"3201 DAIRY DR, MADISON, WI 53716",10/16/2020,11/2/2020,"Box is located just north of station driveway near intersection of Dairy Dr and Prairie Dock Dr.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 2,"421 GRAND CANYON DR, MADISON, WI 53719",10/16/2020,11/2/2020,"Box is located on west side of Grand Teton Pkwy before the station’s back driveway.  Box will be locked at 5 p.m. on Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 3,"1217 WILLIAMSON ST, MADISON, WI 53703",10/16/2020,11/2/2020,"Box is located in small garden just outside station front door.  Walk-up traffic only.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee on Election Day, bring it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 4,"1437 MONROE ST, MADISON, WI 53711",10/16/2020,11/2/2020,"Box is located just east of driveway right across from the badger at Camp Randall, just beneath the Madison: Solar America City sign.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, bring it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 5,"4418 COTTAGE GROVE RD, MADISON, WI 53716",10/16/2020,11/2/2020,"Box is located on Atlas Ave between the bus stop and the station’s back driveway.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 6,"825 W BADGER RD, MADISON, WI 53713-2583",10/16/2020,11/2/2020,"Box is located behind station on west side of Perry St just south of Madison College driveway.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 8,"3945 LIEN RD, MADISON, WI 53704-3601",10/16/2020,11/2/2020,"Box is located east of station on east side of Parkside Dr.  Box will be locked at 5 p.m. Monday, November 2.  If returning your ballot on Election Day, take it directly to your polling location."
,,CITY OF MADISON - DANE COUNTY,Fire Station 9,"201 N MIDVALE BLVD, MADISON, WI 53705",10/16/2020,11/2/2020,"Box is located behind station on west side of Meadow Ln.  Box will be locked at 5 p.m. Monday, November 2.  If returning your absentee ballot on Election Day, take it directly to your polling location."
,,CITY OF MAUSTON - JUNEAU COUNTY,Mauston City Hall,"303 MANSION ST, MAUSTON, WI 53948-1329",9/20/2020,11/2/2020,
,,CITY OF MEQUON - OZAUKEE COUNTY,City Hall Drop Box,"11333 N CEDARBURG RD, MEQUON, WI 53092-1930",9/17/2020,11/2/2020,
,,CITY OF MIDDLETON - DANE COUNTY,Dropbox,"7425 HUBBARD AVE, MIDDLETON, WI 53562",9/19/2020,11/2/2020,
,,CITY OF MONROE - GREEN COUNTY,City Hall,"1110 18TH AVE, MONROE, WI 53566-1850",10/1/2020,11/2/2020,Drop Box located next to City Hall entrance on corner of 18th Ave and 11th St
,,CITY OF MONROE - GREEN COUNTY,Monroe City Hall - across from Post Office,"1724 11TH ST, MONROE, WI 53566",10/1/2020,11/2/2020,White City Hall Drop Box located across from the Post Office on 11th Street
,,CITY OF PITTSVILLE - WOOD COUNTY,Pittsville Municipal Building,"5318 1ST AVE, PITTSVILLE, WI 54466",9/17/2020,11/2/2020,
,,CITY OF PLATTEVILLE - GRANT COUNTY,City Hall,"75 N BONSON ST, PLATTEVILLE, WI 53818",9/22/2020,11/2/2020,
,,CITY OF PLATTEVILLE - GRANT COUNTY,Platteville Public Library,"225 W MAIN ST, PLATTEVILLE, WI 53818",9/22/2020,11/2/2020,
,,CITY OF RACINE - RACINE COUNTY,Cesar Chavez Community Center,"2221 DOUGLAS AVE, RACINE, WI 53402-4507",10/7/2020,11/2/2020,
,,CITY OF RACINE - RACINE COUNTY,City Hall Parking Lot,"730 WASHINGTON AVE UNIT UPPER, RACINE, WI 53403-1146",10/7/2020,11/2/2020,
,,CITY OF RACINE - RACINE COUNTY,Festival Hall,"5 5TH ST, RACINE, WI 53403-1073",10/7/2020,11/2/2020,
,,CITY OF RACINE - RACINE COUNTY,Knapp Elementary,"2701 17TH ST, RACINE, WI 53405",10/7/2020,11/2/2020,
,,CITY OF STEVENS POINT - PORTAGE COUNTY,Dreyfus University Center,"1015 RESERVE ST, STEVENS POINT, WI 54481-3866",9/24/2020,11/2/2020,
,,CITY OF STEVENS POINT - PORTAGE COUNTY,Stevens Point City Hall,"1515 STRONGS AVE, STEVENS POINT, WI 54481-3543",9/22/2020,11/2/2020,
,,CITY OF SUN PRAIRIE - DANE COUNTY,City Hall,"300 E MAIN ST, SUN PRAIRIE, WI 53590",9/21/2020,11/2/2020,24-hour dropbox is available by entering through the Main St lobby (between City Hall and Police Department).
,,CITY OF SUN PRAIRIE - DANE COUNTY,Sun Prairie Utilities,"125 W MAIN ST, SUN PRAIRIE, WI 53590-2905",9/21/2020,11/2/2020,24-hour dropbox is located in drive-thru.  
,,CITY OF SUN PRAIRIE - DANE COUNTY,Westside Community Service Building,"2598 W MAIN ST, SUN PRAIRIE, WI 53590-4637",9/21/2020,11/2/2020,24-hour dropbox is available.  
,,CITY OF VERONA - DANE COUNTY,Verona City Hall Entry Way,"111 LINCOLN ST, VERONA, WI 53593-1520",9/18/2020,11/2/2020,Drop Box is located in-between the two main entry doors of City Hall.
