On iwillvote.com?,Form complete?,Muni,LocationType,AbsenteeLocation,Address,FromDate,ToDate,edm_DayofWeek,DayOfWeek,StartTime,EndTime,AdditionalInstructions
,,CITY OF BAYFIELD - BAYFIELD COUNTY,In-Person Absentee Voting Site,Bayfield City Hall,"125 S 1ST ST, BAYFIELD, WI 54814",10/20/2020,10/30/2020,NULL,,NULL,NULL,"In Person Voting:  Monday - Friday, 8 a.m. to 4 p.m., Please bring your Voter ID.  "
,,CITY OF BELOIT - ROCK COUNTY,In-Person Absentee Voting Site,BELOIT CITY HALL,"100 STATE ST, BELOIT, WI 53511",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,All Day,All Day,Please drop off absentee ballots in the DROPBOX in the driveway between City Hall and Regal off of State Street. In-Person Absentee voting will be utilizing the indoor DROPBOX during the hours listed. THANK YOU.
,,CITY OF BELOIT - ROCK COUNTY,In-Person Absentee Voting Site,BELOIT CITY HALL,"100 STATE ST, BELOIT, WI 53511",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,All Day,All Day,Please drop off absentee ballots in the DROPBOX in the driveway between City Hall and Regal off of State Street. In-Person Absentee voting will be utilizing the indoor DROPBOX during the hours listed. THANK YOU.
,,CITY OF BERLIN - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Berlin City Hall,"108 N CAPRON ST, BERLIN, WI 54923",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,7:30 AM,4:30 PM,If you prefer curbside voting please call 920-361-5400 to make an appointment
,,CITY OF BLAIR - TREMPEALEAU COUNTY,In-Person Absentee Voting Site,Blair City Hall,"122 URBERG ST, BLAIR, WI 54616-6300",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580003,757580004,-1]","Monday,Tuesday,Thursday,Friday",8:00 AM,4:30 PM,There is a black drop box for ballots located outside the front door of the City Hall .
,,CITY OF BRILLION - CALUMET COUNTY,In-Person Absentee Voting Site,Brillion City Center,"201 N. MAIN STREET, BRILLION, WI 54110-1221",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",8:00 AM,4:30 AM,
,,CITY OF BRILLION - CALUMET COUNTY,In-Person Absentee Voting Site,Brillion City Center,"201 N. MAIN STREET, BRILLION, WI 54110-1221",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,12:00 PM,
,,CITY OF BRODHEAD - MULTIPLE COUNTIES,By Clerk Appointment,City Hall,"1111 W 2ND AVE, BRODHEAD, WI 53520-1426",10/20/2020,10/30/2020,NULL,,NULL,NULL,
,,CITY OF BROOKFIELD - WAUKESHA COUNTY,In-Person Absentee Voting Site,Brookfield City Hall,"2000 N CALHOUN RD, BROOKFIELD, WI 53005",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,5:00 PM,Acceptable Photo ID Required
,,CITY OF BUFFALO CITY - BUFFALO COUNTY,In-Person Absentee Voting Site,Buffalo City Municipal Builidng,"245 E 10TH ST, BUFFALO CITY, WI 54622-7324",10/20/2020,10/29/2020,"[-1,757580000,757580001,757580003,-1]","Monday,Tuesday,Thursday",9:00 AM,5:00 PM,Photo ID required
,,CITY OF CEDARBURG - OZAUKEE COUNTY,In-Person Absentee Voting Site,Cedarburg City Hall,"W63 N645 WASHINGTON AVE, CEDARBURG, WI 53012",10/20/2020,9/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,Please proceed to the City Clerk's office on the 2nd floor of City Hall for in-person absentee voting.
,,CITY OF CEDARBURG - OZAUKEE COUNTY,In-Person Absentee Voting Site,Cedarburg City Hall,"W63 N645 WASHINGTON AVE, CEDARBURG, WI 53012",10/20/2020,9/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 PM,Please proceed to the City Clerk's office on the 2nd floor of City Hall for in-person absentee voting.
,,CITY OF CHILTON - CALUMET COUNTY,In-Person Absentee Voting Site,Chilton City Hall,"42 SCHOOL ST, CHILTON, WI 53014-1346",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:00 PM,
,,CITY OF CHIPPEWA FALLS - CHIPPEWA COUNTY,In-Person Absentee Voting Site,"City of Chippewa Falls, City Hall","30 W CENTRAL ST, CHIPPEWA FALLS, WI 54729",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:30 AM,4:30 PM,
,,CITY OF CLINTONVILLE - WAUPACA COUNTY,In-Person Absentee Voting Site,Clintonville City Hall,"50 10TH ST, CLINTONVILLE, WI 54929-1513",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF COLBY - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Colby City Hall,"211 W SPENCE ST, COLBY, WI 54421-9438",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,
,,CITY OF COLUMBUS - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Columbus City Hall,"105 N DICKASON BLVD, COLUMBUS, WI 53925",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:30 AM,4:30 PM,No in-person absentee will take place between 11:30-1:30 
,,CITY OF COLUMBUS - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Columbus City Hall,"105 N DICKASON BLVD, COLUMBUS, WI 53925",10/20/2020,10/30/2020,"[-1,757580001,757580003,-1]","Tuesday,Thursday",4:30 PM,7:30 PM,No in-person absentee will take place between 11:30-1:30 
,,CITY OF CORNELL - CHIPPEWA COUNTY,In-Person Absentee Voting Site,City Office,"222 MAIN ST, CORNELL, WI 54732-8385",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,Witnessing available at this location.
,,CITY OF DARLINGTON - LAFAYETTE COUNTY,In-Person Absentee Voting Site,Darlington Municipal Building,"627 MAIN ST, DARLINGTON, WI 53530-1395",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF DE PERE - BROWN COUNTY,In-Person Absentee Voting Site,De Pere City Hall,"335 S BROADWAY, DE PERE, WI 54115",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF DELAVAN - WALWORTH COUNTY,In-Person Absentee Voting Site,Delavan City Hall,"123 S 2ND ST, DELAVAN, WI 53115-1769",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF DODGEVILLE - IOWA COUNTY,In-Person Absentee Voting Site,Dodgeville City Hall,"100 E FOUNTAIN ST, DODGEVILLE, WI 53533-1750",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Eau Claire City Hall,"203 S FARWELL ST, EAU CLAIRE, WI 54701",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",7:00 AM,6:00 PM,In-Person Absentee Voting will take place using the Drive-Thru process in the City Hall parking lot. ADA voting machine available in City Hall upon request.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Eau Claire City Hall,"203 S FARWELL ST, EAU CLAIRE, WI 54701",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,7:00 AM,5:00 PM,In-Person Absentee Voting will take place using the Drive-Thru process in the City Hall parking lot. ADA voting machine available in City Hall upon request.
,,CITY OF EAU CLAIRE - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Eau Claire City Hall,"203 S FARWELL ST, EAU CLAIRE, WI 54701",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,9:00 AM,4:00 PM,In-Person Absentee Voting will take place using the Drive-Thru process in the City Hall parking lot. ADA voting machine available in City Hall upon request.
,,CITY OF EDGERTON - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Edg City Hall,"12 ALBION ST, EDGERTON, WI 53534-1866",10/20/2020,10/30/2020,"[-1,757580000,-1]",Monday,8:00 AM,6:00 PM,Office is closed daily from 12-1 
,,CITY OF EDGERTON - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Edg City Hall,"12 ALBION ST, EDGERTON, WI 53534-1866",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580003,-1]","Tuesday,Wednesday,Thursday",8:00 AM,5:00 PM,Office is closed daily from 12-1 
,,CITY OF EDGERTON - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Edg City Hall,"12 ALBION ST, EDGERTON, WI 53534-1866",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,4:00 PM,Office is closed daily from 12-1 
,,CITY OF ELKHORN - WALWORTH COUNTY,In-Person Absentee Voting Site,City Hall,"9 S BROAD ST, ELKHORN, WI 53121",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,9:00 AM,4:00 PM,
,,CITY OF EVANSVILLE - ROCK COUNTY,In-Person Absentee Voting Site,Evansville City Hall,"31 S MADISON ST, EVANSVILLE, WI 53536",10/20/2020,10/28/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:30 PM,
,,CITY OF FITCHBURG - DANE COUNTY,In-Person Absentee Voting Site,Fitchburg Community Center - Oak Hall Room,"5510 LACY RD, FITCHBURG, WI 53711-5318",10/20/2020,10/30/2020,"[-1,757580001,757580002,757580003,757580004,757580008,-1]",Weekdays,8:00 AM,6:00 PM,"We also have two dates available at our City Parks for absentee ballot drop off. Those days and locations are:  McKee Farms Park Shelter, 2930 Chapel Valley Rd, Fitchburg, WI 53711, Saturday, October 24th from 10:00 a.m. to 1:00 p.m. and    Huegel-Jamestown Shelter, 5810 Williamsburg Way, Fitchburg, WI 53719, October 17th from 10:00 a.m. to 1:00 p.m."
,,CITY OF FITCHBURG - DANE COUNTY,In-Person Absentee Voting Site,Fitchburg Community Center - Oak Hall Room,"5510 LACY RD, FITCHBURG, WI 53711-5318",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,9:00 AM,1:00 PM,"We also have two dates available at our City Parks for absentee ballot drop off. Those days and locations are:  McKee Farms Park Shelter, 2930 Chapel Valley Rd, Fitchburg, WI 53711, Saturday, October 24th from 10:00 a.m. to 1:00 p.m. and    Huegel-Jamestown Shelter, 5810 Williamsburg Way, Fitchburg, WI 53719, October 17th from 10:00 a.m. to 1:00 p.m."
,,CITY OF FITCHBURG - DANE COUNTY,In-Person Absentee Voting Site,Fitchburg Community Center - Oak Hall Room,"5510 LACY RD, FITCHBURG, WI 53711-5318",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,7:00 PM,"We also have two dates available at our City Parks for absentee ballot drop off. Those days and locations are:  McKee Farms Park Shelter, 2930 Chapel Valley Rd, Fitchburg, WI 53711, Saturday, October 24th from 10:00 a.m. to 1:00 p.m. and    Huegel-Jamestown Shelter, 5810 Williamsburg Way, Fitchburg, WI 53719, October 17th from 10:00 a.m. to 1:00 p.m."
,,CITY OF FOUNTAIN CITY - BUFFALO COUNTY,In-Person Absentee Voting Site,Superior Town Hall,"42 N MAIN ST, FOUNTAIN CITY, WI 54629-8705",10/20/2020,10/28/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:30 PM,Call to make arrangements if extended or evening hours needed. Witnessing available.
,,CITY OF FRANKLIN - MILWAUKEE COUNTY,In-Person Absentee Voting Site,Franklin City Hall,"9229 W LOOMIS RD, FRANKLIN, WI 53132-9630",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,All Day,All Day,"Mailed absentee ballots may be returned by mail, hand delivered to the City Clerk's office, or placed in the secure dropbox directly outside of the main entrance to Franklin City Hall."
,,CITY OF GALESVILLE - TREMPEALEAU COUNTY,In-Person Absentee Voting Site,Galesville City Hall,"16773 S MAIN ST, GALESVILLE, WI 54630",10/20/2020,10/29/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,3:00 PM,
,,CITY OF GLENDALE - MILWAUKEE COUNTY,In-Person Absentee Voting Site,In-Person Absentee Voting (Week 1),"5909 N MILWAUKEE RIVER PKWY, GLENDALE, WI 53209-3815",10/20/2020,10/23/2020,"[-1,757580001,757580002,757580003,757580004,-1]","Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:30 PM,
,,CITY OF GLENDALE - MILWAUKEE COUNTY,In-Person Absentee Voting Site,In-Person Absentee Voting (Week 2),"5909 N MILWAUKEE RIVER PKWY, GLENDALE, WI 53209-3815",10/26/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,-1]","Monday,Tuesday,Wednesday,Thursday",8:00 AM,4:30 AM,
,,CITY OF GLENDALE - MILWAUKEE COUNTY,In-Person Absentee Voting Site,In-Person Absentee Voting (Week 2),"5909 N MILWAUKEE RIVER PKWY, GLENDALE, WI 53209-3815",10/26/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 PM,
,,CITY OF GLENWOOD CITY - ST. CROIX COUNTY,In-Person Absentee Voting Site,MUNICIPAL BUILDING,"113 W OAK ST, GLENWOOD CITY, WI 54013",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:30 PM,
,,CITY OF GREENFIELD - MILWAUKEE COUNTY,In-Person Absentee Voting Site,Greenfield City Hall,"7325 W FOREST HOME AVE, GREENFIELD, WI 53220-3356",10/20/2020,10/30/2020,NULL,,NULL,NULL,"Early in-person absentee voting will be offered at Greenfield City Hall, Room 100, between Oct. 20, 2020 and Oct. 30, 2020 as follows: Oct. 20 - 8 am - 6 pm; Oct. 21 - 8 am - 7 pm; Oct. 22 - 8 am - 6 pm; Oct. 23 - 8 am - 6 pm; Oct. 24 - 9 am - 3 pm; Oct. 25 - noon - 3 pm; Oct. 26 - 8 am - 6 pm; Oct. 27 - 8 am - 6 pm; Oct. 28 - 8 am - 7 pm; Oct. 29 - 8 am - 7 pm; Oct. 30 - 8 am - 5 pm.  "
,,CITY OF HAYWARD - SAWYER COUNTY,In-Person Absentee Voting Site,City of Hayward City Hall,"15889 W 3RD ST, HAYWARD, WI 54843-7110",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,
,,CITY OF HORICON - DODGE COUNTY,In-Person Absentee Voting Site,HORICON CITY HALL,"404 E LAKE ST, HORICON, WI 53032-1245",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",7:30 AM,4:00 PM,"Thursday, October 29th and Friday, October 30th City Hall will be open until 5 p.m. to accommodate in person absentee voting."
,,CITY OF HUDSON - ST. CROIX COUNTY,By Clerk Appointment,City Hall,"505 3RD ST, HUDSON, WI 54016-1603",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,10:00 AM,4:30 PM,
,,CITY OF HURLEY - IRON COUNTY,In-Person Absentee Voting Site,Hurley City Hall,"405 5TH AVE N, HURLEY, WI 54534-1178",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:00 AM,4:00 PM,
,,CITY OF JANESVILLE - ROCK COUNTY,In-Person Absentee Voting Site,City Hall Wall Street Entrance,"18 N JACKSON ST, JANESVILLE, WI 53548-2928",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,7:30 AM,4:30 PM,
,,CITY OF JANESVILLE - ROCK COUNTY,In-Person Absentee Voting Site,City Hall Wall Street Entrance,"18 N JACKSON ST, JANESVILLE, WI 53548-2928",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,7:30 AM,5:00 PM,
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,8:00 AM,4:30 AM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,8:00 AM,4:30 AM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,8:00 AM,4:00 AM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580006,-1]",Sunday,12:00 PM,4:00 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580000,-1]",Monday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,8:00 AM,4:30 PM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 AM,In-Person Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:30 AM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,8:00 AM,4:30 AM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580005,-1]",Saturday,8:00 AM,4:00 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580006,-1]",Sunday,12:00 PM,4:00 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580000,-1]",Monday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580001,-1]",Tuesday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580002,-1]",Wednesday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580003,-1]",Thursday,8:00 AM,4:30 PM,Drive-Thru Absentee Voting
,,CITY OF KENOSHA - KENOSHA COUNTY,In-Person Absentee Voting Site,Kenosha Municipal Building - Parking Lot,"625  52ND ST, KENOSHA, WI 53140-3480",10/20/2020,10/30/2020,"[-1,757580004,-1]",Friday,8:00 AM,5:00 PM,Drive-Thru Absentee Voting
,,CITY OF KEWAUNEE - KEWAUNEE COUNTY,In-Person Absentee Voting Site,Kewaunee City Hall,"401 5TH ST, KEWAUNEE, WI 54216-1838",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",8:00 AM,4:30 PM,
,,CITY OF KIEL - MULTIPLE COUNTIES,In-Person Absentee Voting Site,Kiel City Hall,"621 6TH ST, KIEL, WI 53042",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",7:30 AM,4:30 PM,
,,CITY OF LA CROSSE - LA CROSSE COUNTY,In-Person Absentee Voting Site,La Crosse City Hall,"400 LA CROSSE ST, LA CROSSE, WI 54601-3374",10/20/2020,10/30/2020,"[-1,757580008,-1]",Weekdays,8:30 AM,5:00 PM,
,,CITY OF LANCASTER - GRANT COUNTY,In-Person Absentee Voting Site,Lancaster City Hall,"206 S MADISON ST, LANCASTER, WI 53813-1762",10/20/2020,10/30/2020,"[-1,757580000,757580001,757580002,757580003,757580004,-1]","Monday,Tuesday,Wednesday,Thursday,Friday",9:00 AM,4:00 PM,Enter City Hall through the Cherry Street door. In-person voting in the Senior Center.
,,CITY OF MADISON - DANE COUNTY,By Clerk Appointment,Alicia Ashman Library,"733 N HIGH POINT RD, MADISON, WI 53717-2237",10/20/2020,10/31/2020,"[-1,757580008,-1]",Weekdays,12:00 PM,6:00 PM,Limited capacity.  Make an appointment by calling the Clerk's Office at least 24 hours in advance.  Drive-up or walk-up.
