Municipality,HINDI,Website,Updated,Clerk,Deputy_Clerk,Address,Address_Mailing,Phone_1,Fax
TOWN OF ASHLAND ASHLAND COUNTY,02004,NA,12/6/2019,LEXI PIERCE,NA,"39227 STATE HIGHWAY 13, HIGHBRIDGE, WI 54846","38552 RYEFIELD ROAD, HIGHBRIDGE, WI 54846",715-661-0622,NA
TOWN OF CHIPPEWA ASHLAND COUNTY,02006,http://www.townofchippewawi.com/,12/28/2017,CINDY PRITZL,NA,"77504 WEST RD, BUTTERNUT, WI 54514-9154","PO BOX 276, BUTTERNUT, WI 54514-0276",715-769-3126,715-769-3683
TOWN OF GINGLES ASHLAND COUNTY,02008,NA,12/6/2019,TRACI BEIERSDORFF,NA,"49833 STATE HIGHWAY 112, ASHLAND, WI 54806-4411","PO BOX 928, ASHLAND, WI 54806-0928",715-682-8297,NA
TOWN OF GORDON ASHLAND COUNTY,02010,NA,1/9/2018,NICOLE MAIER,NA,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155","PO BOX 85, GLIDDEN, WI 54527- 0085",715-264-2460,715-264-2144
TOWN OF JACOBS ASHLAND COUNTY,02012,NA,1/9/2020,KATHLEEN BAY,NA,"23 N GRANT ST, GLIDDEN, WI 54527","PO BOX 184, GLIDDEN, WI 54527-0184",715-264-4851,715-264-4851
TOWN OF LA POINTE ASHLAND COUNTY,02014,https://www.townoflapointewi.gov/,3/8/2018,MICAELA MONTAGNE,BARBARA NELSON,"240 BIG BAY RD, LA POINTE, WI 54850","PO BOX 270, LA POINTE, WI 54850-0270",715-747-6913,715-747-6654
TOWN OF MARENGO ASHLAND COUNTY,02016,NA,4/19/2019,DONNA KOOSMANN,NA,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409","43880 STATE HIGHWAY112, ASHLAND, WI 54806",715-278-3276,NA
TOWN OF MORSE ASHLAND COUNTY,02018,NA,1/19/2018,TRACI JONES,NA,"402 2ND AVE, MELLEN, WI 54546-8904","PO BOX 227, MELLEN, WI 54546 -0227",715-274-2126,715-274-2126
TOWN OF PEEKSVILLE ASHLAND COUNTY,02020,NA,3/19/2019,PATRICIA CEBERY,NA,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195","79242 SINKHOLE RD, GLIDDEN, WI 54527-9021",715-264-2418,715-264-2151
TOWN OF SANBORN ASHLAND COUNTY,02022,http://www.townofsanborn.com/,3/19/2019,JAMIE WEAVER,NA,"69393 HIGHWAY 2, ASHLAND, WI 54806-0970","PO BOX 1021, ASHLAND, WI 54806-1021",715-292-3581,NA
TOWN OF SHANAGOLDEN -,02024,NA,8/30/2018,CYNTHIA EDER,NA,"74268 MERTIG RD, GLIDDEN, ASHLAND COUNTY WI 54527-9737","19965 BAY RD, GLIDDEN, WI 54527-9688",715-264-5899,715-264-5899
TOWN OF WHITE RIVER - ASHLAND COUNTY,02026,NA,12/6/2019,SHELLEY JOLMA,NA,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806","65273 CHARLES JOHNSON RD, ASHLAND, WI 54806",715-278-3752,NA
VILLAGE OF BUTTERNUT - ASHLAND,02106,http://www.butternutwi.com/,12/28/2017,CINDY L PRITZL,NA,"301 W MICHIGAN ST, COUNTY BUTTERNUT, WI 54514-9782","PO BOX 276, BUTTERNUT, WI 54514-0276",715-769-3113,715-769-3683
CITY OF ASHLAND MULTIPLE COUNTIES,02201,http://www.coawi.org/,12/4/2019,DENISE OLIPHANT,SARAH SZYMANIAK,"601 MAIN ST W, ASHLAND, WI 54806-1537",NA,715-682-7071,715-682-7048
CITY OF MELLEN ASHLAND COUNTY,02251,http://www.mellenwi.com/,12/28/2017,CONNIE IACOBELLO,BECKY SCRIBNER,"102 BENNETT ST, MELLEN, WI 54546-9704","PO BOX 708, MELLEN, WI 54546 -0708",715-274-2136,715-274-3707
TOWN OF ALMENA BARRON COUNTY,03002,http://townofalmena.com,1/7/2020,LOIS HOFF,NA,"211 SOO AVE, ALMENA, WI 54805","1259 4TH STRREET, Almena, WI 54805-0185",715-554-3107,NA
TOWN OF ARLAND BARRON COUNTY,03004,NA,10/16/2018,PAMELA Y FALL,NA,"653 9TH AVE, CLAYTON, WI 54004-9088","686 7TH AVE, CLAYTON, WI 54004-9032",715-455-1074,715-357-3675
TOWN OF BARRON BARRON COUNTY,03006,https://www.townofbarron.com,10/17/2019,JILL SADTLER,NA,"1307 16th St, Barron, WI 54812 -8724","1408 14th Ave, Barron, WI 54812 Phone 1: 715-790-7100",715-790-7100,NA
TOWN OF BEAR LAKE BARRON COUNTY,03008,http://townofbearlake.com,7/5/2018,PAMELA GANNON,NA,"2498 17TH ST, RICE LAKE, WI 54868-9517","2662 16TH ST, RICE LAKE, WI 54868-9344",715-234-3822,NA
TOWN OF CEDAR LAKE BARRON COUNTY,03010,http://www.cedarlakets.com,11/30/2018,MARY HELEN M. DREW,NA,"2696 MAIN ST, MIKANA, WI 54857","2706 27TH AVE, MIKANA, WI 54857",715-234-4333,NA
TOWN OF CHETEK BARRON COUNTY,03012,NA,12/28/2017,KRISTY TROWBRIDGE,NA,"213 KNAPP ST, CHETEK, WI 54728-4125","1071 24 3/4 ST, CAMERON, WI 54822-9749",715-859-6708,NA
TOWN OF CLINTON BARRON COUNTY,03014,http://clintonwi.org,12/11/2018,MELANIE MILLER,NA,"940 14TH AVE, POSKIN, WI 54812-9402","1717 9 1/2 ST, BARRON, WI 54812-9004",715-418-0210,NA
TOWN OF CRYSTAL LAKE - BARRON,03016,NA,1/9/2018,ARLENE MAE FRISINGER,NA,"164 22ND AVE, COMSTOCK, COUNTY WI 54826-9752","PO BOX 757, COMSTOCK, WI 54826-0757",715-822-4612,NA
TOWN OF CUMBERLAND - BARRON COUNTY,03018,NA,6/21/2017,HOLLY NYHUS,NA,"902 20TH AVE, CUMBERLAND, WI 54829","1876 7TH ST, CUMBERLAND, WI 54829-9604",715-357-6154,715-822-2762
TOWN OF DALLAS BARRON COUNTY,03020,NA,9/19/2018,KAROLYN BARTLETT,NA,"517 14 1/2 ST, DALLAS, WI 54733-9640",NA,715-837-1039,NA
TOWN OF DOVRE BARRON COUNTY,03022,NA,5/8/2019,KELLY PHILLIPS,NA,"304 25 1/2 ST, CHETEK, WI 54728-6321",NA,715-237-2530,NA
TOWN OF DOYLE BARRON COUNTY,03024,http://www.townofdoyle.com,11/2/2017,VICTOR DROST,JANICE C STEARNS,"2248 27th St, Rice Lake, WI 54868",NA,715-651-8157,NA
TOWN OF LAKELAND BARRON COUNTY,03026,http://townoflakelandwi.com,1/22/2020,DANIELLE MAXWELL-PARKER,NA,"791 29 11/16 AVE, BARRONETT, WI 54813-9414","PO BOX 28, BARRONETT, WI 54813-0028",715-822-2775,715-822-2789
TOWN OF MAPLE GROVE - BARRON,03028,NA,11/2/2017,MARY CARR,NA,"753 14 1/2 St, Hillsdale, WI COUNTY 54733-9464","1355 9th Ave, Hillsdale, WI 54733- 9464",715-651-9669,NA
TOWN OF MAPLE PLAIN - BARRON COUNTY pleplainwi/home,03030,https://sites.google.com/view/townofma,1/17/2020,DANIELLE E MAXWELL-PARKER,NA,"397 26TH AVE, CUMBERLAND, WI 54829-9013","PO BOX 1319, CUMBERLAND, WI 54829-1319",715-822-8913,715-822-8786
TOWN OF OAK GROVE BARRON COUNTY,03032,NA,3/8/2018,JACQUE SCHAFFER,NA,"2738 22ND ST, RICE LAKE, WI 54868-9767","1971 30TH AVE, RICE LAKE, WI 54868-9357",715-296-0440,NA
TOWN OF PRAIRIE FARM - BARRON,03034,NA,5/25/2017,VICKIE BUCK,NA,"865 3 2 3/4 AVE, PRAIRIE COUNTY FARM, WI 54762","624 1ST AVE, PRAIRIE FARM, WI 54762-9406",715-495-2798,NA
TOWN OF PRAIRIE LAKE - BARRON COUNTY,03036,https://www.townofprairielake.com/,1/7/2020,MEGAN REICHERT,KARN MOE,"796 21ST ST, CHETEK, WI 54728-9723",NA,715-924-2580,715-924-1864
TOWN OF RICE LAKE BARRON COUNTY,03038,https://townofricelake.com/,9/25/2019,JANET TOMESH,MARY DODGE,"1830 MACAULEY AVE, RICE LAKE, WI 54868-2909",NA,715-234-8087,715-234-8087
TOWN OF SIOUX CREEK - BARRON COUNTY,03040,NA,3/19/2019,LIZA SCHROEDER,NA,"2067 3 1/2 AVE, CHETEK, WI 54728-9362","2077 3 1/2 AVE, CHETEK, WI 54728-9362",715-837-1007,715-837-1007
TOWN OF STANFOLD BARRON COUNTY,03042,http://stanfold.org/,10/23/2019,KRISTEN K FOUST,NA,"2097 15TH STREET, RICE LAKE, WI 54868","2817 15TH AVE., RICE LAKE, WI 54868",715-475-9363,NA
TOWN OF STANLEY BARRON COUNTY,03044,NA,11/2/2018,JIM HESSEL,NA,"2026 15TH AVE, CAMERON, WI 54822-4400","1328 18 3/4 ST, CAMERON, WI 54822-9512",715-458-4783,715-458-4782
TOWN OF SUMNER BARRON COUNTY,03046,http://townofsumner-wi.com,12/20/2017,SANDRA TOMCZAK,ELIZABETH BARTSCH,"1550 24 1/2 ST, RICE LAKE, WI 54868-8725","2551 15 1/4 AVE, RICE LAKE, WI 54868-8747",715-859-6520,NA
TOWN OF TURTLE LAKE - BARRON COUNTY,03048,NA,3/18/2019,KATHRYN STEFFEN,NA,"1076 3RD ST, TURTLE LAKE, WI 54889-8867","485 11 1/2 AVE, TURTLE LAKE, WI 54889-8867",715-357-0045,NA
TOWN OF VANCE CREEK - BARRON,03050,http://www.townofvancecreek.com/,1/16/2020,GLENNIS LYNCH,MARGE MARLETT,"174 2nd Ave & County Hwy A, Reeve, WI 54004","319 1st Ave., CLAYTON, WI 54004-8933",715-263-2210,NA
VILLAGE OF ALMENA BARRON COUNTY,03101,http://villageofalmena.com,4/29/2019,KIM BAUER,NA,"131 SOO AVE EAST, ALMENA, WI 54805","PO BOX 277, ALMENA, WI 54805 -0277",715-357-6600,715-357-6601
VILLAGE OF CAMERON BARRON COUNTY,03111,http://villageofcameron.com,1/26/2018,ROGER M OLSON,DOROTHY RYBA,"300 N 1ST ST, CAMERON, WI 54822-9708","PO BOX 387, CAMERON, WI 54822-0387",715-458-2117,715-458-4235
VILLAGE OF DALLAS BARRON COUNTY,03116,http://www.dallaswi.com/,10/28/2019,LUCILLE GUIBORD,NA,"100 DALLAS ST W, DALLAS, WI 54733","PO BOX 84, DALLAS, WI 54733- 0084",715-837-1186,715-837-1329
VILLAGE OF HAUGEN BARRON COUNTY,03136,http://www.villageofhaugen.com/,11/27/2019,HEATHER LONG,NA,"104 3RD ST, HAUGEN, WI 54841","PO BOX 234, HAUGEN, WI 54841 -0234",715-234-8014,NA
VILLAGE OF PRAIRIE FARM - BARRON,03171,NA,3/19/2019,SHERRIE L SIEBERT,NA,"115 RIVER AVE N, PRAIRIE COUNTY FARM, WI 54762-9782","PO BOX 74, PRAIRIE FARM, WI 54762-0074",715-455-1714,715-455-1712
VILLAGE OF TURTLE LAKE - MULTIPLE,03186,https://www.turtlelakewi.com/,3/12/2019,ARDITH STORY,NA,"114 MARTIN AVE E, TURTLE COUNTIES LAKE, WI 54889-9060","PO BOX 11, TURTLE LAKE, WI 54889-0011",715-986-2241 EXT 4,715-986-4252
CITY OF BARRON BARRON COUNTY,03206,http://cityofbarron.com,4/9/2019,KELLI RASMUSSEN,JANET BENSEND,"1456 E LA SALLE AVE, BARRON, WI 54812-1638","PO BOX 156, BARRON, WI 54812 -0156",715-537-5631,715-537-9209
CITY OF CHETEK BARRON COUNTY,03211,http://www.cityofchetek-wi.gov,1/26/2018,CARMEN NEWMAN,CASSANDRA LARSON,"220 STOUT ST, CHETEK, WI 54728-8853","PO BOX 194, CHETEK, WI 54728-0194",715-924-4838,715-924-2476
CITY OF CUMBERLAND BARRON COUNTY,03212,http://cityofcumberland.net,1/5/2018,JULIE A KESSLER,DENISE SANDO,"950 1ST AVE, CUMBERLAND, WI 54829-9550",NA,715-822-2752,715-822-3799
CITY OF RICE LAKE BARRON COUNTY,03276,http://www.cityofricelake.com,1/5/2018,KATHLEEN V MORSE,LORA METHENY,"30 E EAU CLAIRE ST, RICE LAKE, WI 54868-1782",NA,715-234-7088,715-234-6829
TOWN OF BARKSDALE BAYFIELD COUNTY,04002,NA,3/19/2019,LYNN M DIVINE,NA,"29025 E ONDOSSAGON RD, ASHLAND, WI 54806-5622","290250 E ONDOSSAGON RD, ASHLAND, WI 54806-5622",715-682-2222,715-682-5577
TOWN OF BARNES BAYFIELD COUNTY,04004,http://www.barnes-wi.com,12/21/2017,JUDY BOURASSA,TAMI HOFF,"3360 COUNTY HWY N, BARNES, WI 54873-6106",NA,715-795-2782,715-795-2784
TOWN OF BAYFIELD BAYFIELD COUNTY,04006,NA,11/1/2018,KELLY FAYE,DAVID L GOOD,"85450 COUNTY HIGHWAY J, BAYFIELD WI 54814-4455","85450 COUNTY HIGHWAY J, BAYFIELD, WI 54814-4455",715-779-5671,715-779-5681
TOWN OF BAYVIEW BAYFIELD COUNTY,04008,http://www.townofbayview.org,3/8/2018,WANDA HYDE,NA,"32030 MAKI RD, WASHBURN, WI 54891-6862","32800 BURLAGER RD, WASHBURN, WI 54891-4449",715-373-2088,NA
TOWN OF BELL BAYFIELD COUNTY,04010,NA,11/2/2017,MARY BETH TILLMANS,NA,"22620 ASH STREET, CORNUCOPIA, WI 54827","PO BOX 116, CORNUCOPIA, WI 54827-0116",715-742-3337,715-742-3325
TOWN OF CABLE BAYFIELD COUNTY,04012,http://www.townofcable.com/,4/29/2019,DEANNE ALLEN,NA,"43395 RANDYSEK ROAD, CABLE, WI 54821","PO BOX 476, CABLE, WI 54821- 0476",715-798-4440,715-798-4470
TOWN OF CLOVER BAYFIELD COUNTY,04014,http://herbsterwisconsin.com,4/16/2019,TRACY GILLESPEY,NA,"86870 LENAWEE RD, HERBSTER, WI 54844-4503","PO BOX 94, HERBSTER, WI 54844-0094",715-774-3780,715-774-3792
TOWN OF DELTA BAYFIELD COUNTY,04016,NA,6/28/2016,THOMAS W ERICKSON,NA,"15990 COUNTY HIGHWAY H, MASON, WI 54856-9530","15990 COUNTY H, MASON, WI 54856",715-372-4747,715-372-4747
TOWN OF DRUMMOND BAYFIELD COUNTY,04018,http://www.drummondwi.com,3/18/2019,ANDREW TUTTLE,NA,"15090 SUPERIOR ST, DRUMMOND, WI 54832-4486","PO BOX 56, DRUMMOND, WI 54832-0056",715-739-6774,NA
TOWN OF EILEEN BAYFIELD COUNTY,04020,http://www.townofeileen.com,1/26/2018,CRYSTAL MATTSON,JENA BARSCH,"29130 STATE HIGHWAY 137, ASHLAND, WI 54806-2693",NA,715-682-5070,NA
TOWN OF GRAND VIEW - BAYFIELD COUNTY,04021,NA,1/5/2018,TERESA A GUNDERSON,NA,"22010 GRANDVIEW BLVD, GRAND VIEW WI 54839","PO BOX 126, GRAND VIEW, WI 54839-0126",715-763-3151,715-763-3120
TOWN OF HUGHES BAYFIELD COUNTY,04022,NA,1/19/2018,KENNETH W HALTI,NA,"66225 HUGHES TOWN HALL RD, IRON RIVER, WI 54847-4815","PO Box 805, IRON RIVER, WI 54847-0805",715-372-4294,715-372-4289
TOWN OF IRON RIVER BAYFIELD COUNTY,04024,http://townofironriver.com,1/19/2018,HELEN G HYDE,MAUREEN JOHNSON,"8275 E MILL ST, IRON RIVER WI 54847-3453","PO BOX 485, IRON RIVER, WI 54847-0485",715-372-5457,715-372-4609
TOWN OF KELLY BAYFIELD COUNTY,04026,NA,2/4/2019,ELIZABETH J. SEEFELDT,NA,"27525 MAPLE RIDGE RD, MASON, WI 54856","29545 BELL RD, MASON, WI 54856-3014",715-765-4474,NA
TOWN OF KEYSTONE BAYFIELD COUNTY,04028,NA,3/17/2016,CAROL MORAVCHIK,NA,"66015 County Highway F, ASHLAND, WI 54806","64350 WASHNIESKI RD, MASON, WI 54856-8445",715-746-2328,NA
TOWN OF LINCOLN BAYFIELD COUNTY,04030,NA,5/17/2018,LACEY HILL KASTERN,NA,"28985 E ALTAMONT RD, MASON, WI 54856-4038","28005 E ALTAMONT ROAD, MASON, WI 54856-2087",715-765-4210,NA
TOWN OF MASON BAYFIELD COUNTY,04032,NA,3/15/2019,SUSAN HIATT,NA,"62655 BENOIT RD, MASON WI 54856-9366","60020 HANSON RD, MASON, WI 54856-3931",715-765-4711,715-746-2217
TOWN OF NAMAKAGON - BAYFIELD COUNTY,04034,http://namakagon-wi.org,1/10/2019,LAURA BJORK,LAURA BJORK,"23845 COUNTY HWY M, CABLE, WI 54821-4000",NA,715-794-2651,715-794-2920
TOWN OF ORIENTA BAYFIELD COUNTY,04036,NA,1/26/2018,CLYDE CLAUSON,NA,"8090 SORENSON RD, PORT WING, WI 54865","81475 EVERGREEN RD, PORT WING, WI 54865-4828",715-774-3295,NA
TOWN OF OULU BAYFIELD COUNTY,04038,http://ouluwisconsin.com,10/24/2017,DIANA REIJO,NA,"2525 W COLBY RD, BRULE, WI 54820","71530 HOOVER LINE RD, IRON RIVER, WI 54847-6731",715-372-4507,NA
TOWN OF PILSEN BAYFIELD COUNTY,04040,NA,1/19/2018,SUZI MISUN,NA,"23700 PILSEN HALL RD, ASHLAND WI 54806","68470 MOQUAH VALLEY RD, ASHLAND, WI 54806-6648",715-746-2438,NA
TOWN OF PORT WING BAYFIELD COUNTY,04042,NA,3/8/2018,MARJORIE OGREN,NA,"81030 GRAND AVE, PORT WING, WI 54865","PO BOX 28, PORT WING, WI 54865-0028",715-774-3624,715-774-3634
TOWN OF RUSSELL BAYFIELD COUNTY,04046,NA,3/19/2019,DAVID L GOOD,JUDY MEIEROTTO,"35900 STATE HIGHWAY 13, BAYFIELD, WI 54814-4886",NA,715-779-5338,715-779-0249
TOWN OF TRIPP BAYFIELD COUNTY,04048,NA,11/2/2017,JUDY PILGER,NA,"8590 COUNTY HIGHWAY A, IRON RIVER, WI 54847-7516",NA,715-372-5331,715-372-5123
TOWN OF WASHBURN BAYFIELD COUNTY,04050,http://townofwashburn.com,10/30/2018,KERRY TETZNER,NA,"30455 NEVERS RD, WASHBURN WI 54891-5880","29450 NEVERS RD, WASHBURN, WI 54891-6800",715-292-1501,NA
VILLAGE OF MASON BAYFIELD COUNTY,04151,NA,12/18/2017,MARIAN SCHRAUFNAGEL,BEA HAYEN,"59400 NORTHERN LIGHTS BLVD, MASON, WI 54856-4501","PO BOX 44, MASON, WI 54856- 0044",715-765-4554,NA
CITY OF BAYFIELD BAYFIELD COUNTY,04206,http://www.cityofbayfield.com,11/2/2018,BILLIE L HOOPMAN,DIONNE JOHNSTON,"125 S 1ST ST BOX 1170, BAYFIELD, WI 54814-5006",NA,715-779-5712,715-779-5094
CITY OF WASHBURN BAYFIELD COUNTY,04291,http://cityofwashburn.org,12/15/2017,SCOTT J KLUVER,TAMMY L DEMARS,"119 WASHINGTON AVE, WASHBURN, WI 54891-1164","PO BOX 638, WASHBURN, WI 54891-0638",715-373-6160,715-373-6148
TOWN OF EATON BROWN COUNTY,05010,http://www.townofeaton-wi.org/,1/17/2020,DAWN KONOP,NA,"3063 S COUNTY ROAD T, GREEN BAY, WI 54311-9429","3877 S MICHIELS RD, DENMARK, WI 54208-8870",920-863-2852,920-863-2587
TOWN OF GLENMORE BROWN COUNTY,05012,http://glenmorewisconsin.org,1/19/2018,CINDY OSSMANN,NA,"5718 DICKINSON ROAD, DE PERE, WI 54115-9761","3932 HICKORY LANE, DE PERE, WI 54115-9761",920-864-3420,920-864-2101
TOWN OF GREEN BAY BROWN COUNTY,05014,http://www.townofgreenbay.com,12/18/2017,DEBBIE MERCIER,NA,"5659 DELCORE RD, NEW FRANKEN, WI 54229-9310",NA,920-866-2497,920-866-2497
TOWN OF HOLLAND BROWN COUNTY,05018,http://www.holland-wi.us,11/2/2018,WILLIAM M CLANCY,NA,"7226 OLD 57 RD, GREENLEAF WI 54126-9641","7226 OLD 57 RD, GREENLEAF, WI 54126-9641",920-532-4752,920-532-0571
TOWN OF HUMBOLDT BROWN COUNTY,05022,http://townofhumboldt.com,11/2/2017,JUDY BAIERL,NA,"5500 HUMBOLDT RD, GREEN BAY, WI 54311-9244","575 S NEW FRANKEN RD, GREEN BAY, WI 54311-9244",920-863-3370,920-863-3388
TOWN OF LAWRENCE BROWN COUNTY,05024,http://www.townoflawrence.org,3/22/2018,CINDY KOCKEN,MARY JO KUSSOW,"2400 SHADY CT, DE PERE, WI 54115-9410",NA,920-347-3719,920-336-9193
TOWN OF LEDGEVIEW BROWN COUNTY,05025,http://www.ledgeviewwisconsin.com,5/10/2018,CHARLOTTE NAGEL,NA,"3700 DICKINSON RD, DE PERE, WI 54115-8797",NA,920-336-3360 EXT 104,920-336-8517
TOWN OF MORRISON BROWN COUNTY,05026,NA,1/5/2018,COLLEEN MAGLEY,NA,"4207 HILL RD, GREENLEAF, WI 54126-9430",NA,920-864-2388,920-864-3495
TOWN OF NEW DENMARK - BROWN,05028,http://www.townofnewdenmark.com,3/8/2018,MICHELLE K WALLERIUS,NA,"5531 W Town Hall Rd, COUNTY DENMARK, WI 54208-8663","5993 W CHERNEY RD, DENMARK, WI 54208-8939",920-863-5523,920-863-5523
TOWN OF PITTSFIELD BROWN COUNTY,05030,http://townofpittsfield.org,4/29/2019,DEBBIE DIEDERICH,JANET BODART,"4862 KUNESH ROAD, GREEN BAY, WI 54313","6532 OLD 29 ROAD, SEYMOUR, WI 54165",920-676-1517,NA
TOWN OF ROCKLAND BROWN COUNTY,05034,http://www.townofrockland.org/,12/8/2017,JULIE KOENIG,COLLEEN MAGLEY,"1712 BOB BEA JAN RD, DE PERE, WI 54115-8632",NA,920-336-2814,920-336-5565
TOWN OF SCOTT BROWN COUNTY,05036,http://www.townofscott.com,1/5/2018,JOHN J ROTH,DEBRA VANDEN,"2621 JODY DR, NEW FRANKEN, WI 54229",NA,920-406-9380,920-406-9381
TOWN OF WRIGHTSTOWN -,05040,http://townofwrightstown.org,3/19/2019,DONNA MARTZAHL,NA,"1527 DAY ST, GREENLEAF, WI BROWN COUNTY 54126-9746","PO BOX 175, GREENLEAF, WI 54126-0175",920-864-7927,920-864-7917
VILLAGE OF ALLOUEZ BROWN COUNTY,05102,https://www.villageofallouez.com,7/5/2016,DEBBIE BAENEN,CARRIE ZITTLOW,"1900 LIBAL ST, GREEN BAY, WI 54301-2453",NA,920-448-2800,920-448-2850
VILLAGE OF ASHWAUBENON -,05104,https://ashwaubenon.com/,4/25/2019,PATRICK W MOYNIHAN,BETH STEIN,"2155 HOLMGREN WAY, ASHWAUBENON, WI 54304-4605",NA,920-492-2302,920-492-2328
VILLAGE OF BELLEVUE BROWN COUNTY,05106,http://www.villageofbellevue.org,3/19/2019,KAREN SIMONS,DAWN NOVAK,"2828 ALLOUEZ AVE, GREEN BAY, WI 54311-6644",NA,920-593-5511,920-468-4196
