Precinct ID,Precinct Code,Precinct Name,Polling Location,Location Description,Address,City,Zip,County,Polling Location Contact Info,Authenticating Authority,Date Authenticated*,Muni,PollingPlaceAddress
418087,00116075001,ADAMS - TOWN OF COLBURN - WARD 001,RICHFIELD TOWN HALL,7:00 AM - 8:00 PM,1602 COUNTY ROAD G,COLOMA,54930,ADAMS,715-228-3752,State Election Official,8-11-2020,COLBURN,"1602 COUNTY ROAD G, COLOMA, WI 54930"
418416,00167425001,ADAMS - TOWN OF RICHFIELD - WARD 001,RICHFIELD TOWN HALL,7:00 AM - 8:00 PM,1602 COUNTY ROAD G,COLOMA,54930,ADAMS,715-228-3752,State Election Official,8-11-2020,COLBURN,"1602 COUNTY ROAD G, COLOMA, WI 54930"
417380,00119575001,ADAMS - TOWN OF DELL PRAIRIE - WARD 001,DELL PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,763 COUNTY ROAD K,WISCONSIN DELLS,53965,ADAMS,(608) 254-2618,State Election Official,8-11-2020,DELL PRAIRIE,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
413896,00119575002,ADAMS - TOWN OF DELL PRAIRIE - WARD 002,DELL PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,763 COUNTY ROAD K,WISCONSIN DELLS,53965,ADAMS,(608) 254-2618,State Election Official,8-11-2020,DELL PRAIRIE,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
1578839,00119575003,ADAMS - TOWN OF DELL PRAIRIE - WARD 003,DELL PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,763 COUNTY ROAD K,WISCONSIN DELLS,53965,ADAMS,(608) 254-2618,State Election Official,8-11-2020,DELL PRAIRIE,"763 COUNTY ROAD K, WISCONSIN DELLS, WI 53965-8981"
417834,00122000001,ADAMS - TOWN OF EASTON - WARD 001,EASTON TOWN HALL,7:00 AM - 8:00 PM,1163 COUNTY ROAD A,ADAMS,53910,ADAMS,(608)576-5953,State Election Official,8-11-2020,EASTON,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784"
415715,00122000002,ADAMS - TOWN OF EASTON - WARD 002,EASTON TOWN HALL,7:00 AM - 8:00 PM,1163 COUNTY ROAD A,ADAMS,53910,ADAMS,(608)576-5953,State Election Official,8-11-2020,EASTON,"1163 COUNTY ROAD A, ADAMS, WI 53910-9784"
414040,00137625001,ADAMS - TOWN OF JACKSON - WARD 001,JACKSON TOWN HALL,7:00 AM - 8:00 PM,398 STATE ROAD 82,OXFORD,53952,ADAMS,608-586-4842,State Election Official,8-11-2020,JACKSON,"398 STATE ROAD 82, OXFORD, WI 53952"
1578840,00137625002,ADAMS - TOWN OF JACKSON - WARD 002,JACKSON TOWN HALL,7:00 AM - 8:00 PM,398 STATE ROAD 82,OXFORD,53952,ADAMS,608-586-4842,State Election Official,8-11-2020,JACKSON,"398 STATE ROAD 82, OXFORD, WI 53952"
417916,00143425001,ADAMS - TOWN OF LEOLA - WARD 001,PONDEROSA PINES,7:00 AM - 8:00 PM,287 STATE ROAD 73,PLAINFIELD,54966,ADAMS,(715) 335-4732,State Election Official,8-11-2020,LEOLA,"287 STATE ROAD 73, PLAINFIELD, WI 54966"
417640,00144250001,ADAMS - TOWN OF LINCOLN - WARD 001,LINCOLN TOWN HALL,7:00 AM - 8:00 PM,2181 COUNTY ROAD G,GRAND MARSH,53936,ADAMS,608-477-0514,State Election Official,8-11-2020,LINCOLN,"2181 COUNTY ROAD G, GRAND MARSH, WI 53936-9641"
416805,00153725001,ADAMS - TOWN OF MONROE - WARD 001,MONROE TOWN HALL,7:00 AM - 8:00 PM,981 COUNTY ROAD Z,ARKDALE,54613,ADAMS,608-564-2417,State Election Official,8-11-2020,MONROE,"981 COUNTY ROAD Z, ARKDALE, WI 54613-7701"
416991,00156525001,ADAMS - TOWN OF NEW CHESTER - WARD 001,NEW CHESTER TOWN HALL,7:00 AM - 8:00 PM,629 MASON ST,GRAND MARSH,53936,ADAMS,(608)472-6182,State Election Official,8-11-2020,NEW CHESTER,"629 MASON ST, GRAND MARSH, WI 53936-9576"
417107,00156525002,ADAMS - TOWN OF NEW CHESTER - WARD 002,NEW CHESTER TOWN HALL,7:00 AM - 8:00 PM,629 MASON ST,GRAND MARSH,53936,ADAMS,(608)472-6182,State Election Official,8-11-2020,NEW CHESTER,"629 MASON ST, GRAND MARSH, WI 53936-9576"
1578841,00156525003,ADAMS - TOWN OF NEW CHESTER - WARD 003,NEW CHESTER TOWN HALL,7:00 AM - 8:00 PM,629 MASON ST,GRAND MARSH,53936,ADAMS,(608)472-6182,State Election Official,8-11-2020,NEW CHESTER,"629 MASON ST, GRAND MARSH, WI 53936-9576"
415475,00156750001,ADAMS - TOWN OF NEW HAVEN - WARD 001,NEW HAVEN TOWN HALL,7:00 AM - 8:00 PM,330 GOLDEN CT,WISCONSIN DELLS,53965,ADAMS,(608) 253-4064,State Election Official,8-11-2020,NEW HAVEN,"330 GOLDEN CT, WISCONSIN DELLS, WI 53965-8616"
416964,00165450001,ADAMS - TOWN OF PRESTON - WARD 001,PRESTON TOWN HALL,7:00 AM - 8:00 PM,1801 11TH AVE,FRIENDSHIP,53934,ADAMS,608-339-6298,State Election Official,8-11-2020,PRESTON,"1801 11TH AVE, FRIENDSHIP, WI 53934"
417235,00165450002,ADAMS - TOWN OF PRESTON - WARD 002,PRESTON TOWN HALL,7:00 AM - 8:00 PM,1801 11TH AVE,FRIENDSHIP,53934,ADAMS,608-339-6298,State Election Official,8-11-2020,PRESTON,"1801 11TH AVE, FRIENDSHIP, WI 53934"
416153,00165825001,ADAMS - TOWN OF QUINCY - WARD 001,QUINCY TOWN HALL,7:00 AM - 8:00 PM,2599 COUNTY ROAD Z,FRIENDSHIP,53934,ADAMS,608-339-7230,State Election Official,8-11-2020,QUINCY,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617"
415672,00165825002,ADAMS - TOWN OF QUINCY - WARD 002,QUINCY TOWN HALL,7:00 AM - 8:00 PM,2599 COUNTY ROAD Z,FRIENDSHIP,53934,ADAMS,608-339-7230,State Election Official,8-11-2020,QUINCY,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617"
1578842,00165825003,ADAMS - TOWN OF QUINCY - WARD 003,QUINCY TOWN HALL,7:00 AM - 8:00 PM,2599 COUNTY ROAD Z,FRIENDSHIP,53934,ADAMS,608-339-7230,State Election Official,8-11-2020,QUINCY,"2599 COUNTY ROAD Z, FRIENDSHIP, WI 53934-9617"
418087,00116075001,ADAMS - TOWN OF COLBURN - WARD 001,RICHFIELD TOWN HALL,7:00 AM - 8:00 PM,1602 COUNTY ROAD G,COLOMA,54930,ADAMS,715-228-3752,State Election Official,8-11-2020,RICHFIELD,"1602 COUNTY ROAD G, COLOMA, WI 54930"
418416,00167425001,ADAMS - TOWN OF RICHFIELD - WARD 001,RICHFIELD TOWN HALL,7:00 AM - 8:00 PM,1602 COUNTY ROAD G,COLOMA,54930,ADAMS,715-228-3752,State Election Official,8-11-2020,RICHFIELD,"1602 COUNTY ROAD G, COLOMA, WI 54930"
417008,00169275001,ADAMS - TOWN OF ROME - WARD 001,ROME MUNICIPAL BUILDING,7:00 AM - 8:00 PM,1156 ALPINE DR,NEKOOSA,54457,ADAMS,715-325-8022,State Election Official,8-11-2020,ROME,"1156 ALPINE DR, NEKOOSA, WI 54457-8616"
414617,00169275002,ADAMS - TOWN OF ROME - WARD 002,ROME MUNICIPAL BUILDING,7:00 AM - 8:00 PM,1156 ALPINE DR,NEKOOSA,54457,ADAMS,715-325-8022,State Election Official,8-11-2020,ROME,"1156 ALPINE DR, NEKOOSA, WI 54457-8616"
416268,00169275003,ADAMS - TOWN OF ROME - WARD 003,ROME MUNICIPAL BUILDING,7:00 AM - 8:00 PM,1156 ALPINE DR,NEKOOSA,54457,ADAMS,715-325-8022,State Election Official,8-11-2020,ROME,"1156 ALPINE DR, NEKOOSA, WI 54457-8616"
414763,00169275004,ADAMS - TOWN OF ROME - WARD 004,ROME MUNICIPAL BUILDING,7:00 AM - 8:00 PM,1156 ALPINE DR,NEKOOSA,54457,ADAMS,715-325-8022,State Election Official,8-11-2020,ROME,"1156 ALPINE DR, NEKOOSA, WI 54457-8616"
417245,00169275005,ADAMS - TOWN OF ROME - WARD 005,ROME MUNICIPAL BUILDING,7:00 AM - 8:00 PM,1156 ALPINE DR,NEKOOSA,54457,ADAMS,715-325-8022,State Election Official,8-11-2020,ROME,"1156 ALPINE DR, NEKOOSA, WI 54457-8616"
418191,00176350001,ADAMS - TOWN OF SPRINGVILLE - WARD 001,SPRINGVILLE TOWNHALL,7:00 AM - 8:00 PM,3143 STATE HIGHWAY 13,WISCONSIN DELLS,53965,ADAMS,(608)678-7950,State Election Official,8-11-2020,SPRINGVILLE,"3143 STATE HIGHWAY 13, WISCONSIN DELLS, WI 53965"
414163,00176350002,ADAMS - TOWN OF SPRINGVILLE - WARD 002,SPRINGVILLE TOWNHALL,7:00 AM - 8:00 PM,3143 STATE HIGHWAY 13,WISCONSIN DELLS,53965,ADAMS,(608)678-7950,State Election Official,8-11-2020,SPRINGVILLE,"3143 STATE HIGHWAY 13, WISCONSIN DELLS, WI 53965"
415984,00177800001,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 001,STRONGS PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,1588 STATE HWY 21,ARKDALE,54613,ADAMS,608-564-7626,State Election Official,8-11-2020,STRONGS PRAIRIE,"1588 STATE HWY 21, ARKDALE, WI 54613"
416086,00177800002,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 002,STRONGS PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,1588 STATE HWY 21,ARKDALE,54613,ADAMS,608-564-7626,State Election Official,8-11-2020,STRONGS PRAIRIE,"1588 STATE HWY 21, ARKDALE, WI 54613"
1578843,00177800003,ADAMS - TOWN OF STRONGS PRAIRIE - WARD 003,STRONGS PRAIRIE TOWN HALL,7:00 AM - 8:00 PM,1588 STATE HWY 21,ARKDALE,54613,ADAMS,608-564-7626,State Election Official,8-11-2020,STRONGS PRAIRIE,"1588 STATE HWY 21, ARKDALE, WI 54613"
416146,00127950001,ADAMS - VILLAGE OF FRIENDSHIP - WARD 001,FRIENDSHIP VILLAGE MUNICIPAL HALL,7:00 AM - 8:00 PM,507 W LAKE ST,FRIENDSHIP,53934,ADAMS,(608)339-3243,State Election Official,8-11-2020,FRIENDSHIP,"507 W LAKE ST, FRIENDSHIP, WI 53934-9301"
414683,00303225001,ASHLAND - CITY OF ASHLAND - WARD 001,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415772,00303225002,ASHLAND - CITY OF ASHLAND - WARD 002,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415452,00303225003,ASHLAND - CITY OF ASHLAND - WARD 003,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415251,00303225004,ASHLAND - CITY OF ASHLAND - WARD 004,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415790,00303225005,ASHLAND - CITY OF ASHLAND - WARD 005,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415696,00303225006,ASHLAND - CITY OF ASHLAND - WARD 006,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
414058,00303225007,ASHLAND - CITY OF ASHLAND - WARD 007,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415764,00303225008,ASHLAND - CITY OF ASHLAND - WARD 008,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415946,00303225009,ASHLAND - CITY OF ASHLAND - WARD 009,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415388,00303225010,ASHLAND - CITY OF ASHLAND - WARD 010,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
415311,00303225011,ASHLAND - CITY OF ASHLAND - WARD 011,WISCONSIN INDIANHEAD TECHNICAL COLLEGE-ASHLAND,7:00 AM - 8:00 PM,2100 BEASER AVE,ASHLAND,54806,ASHLAND,715-682-4591,State Election Official,8-11-2020,ASHLAND,"2100 BEASER AVE, ASHLAND, WI 54806"
417354,00350700001,ASHLAND - CITY OF MELLEN - WARD 001,MELLEN LIBRARY/SENIOR CITIZEN CENTER,7:00 AM - 8:00 PM,106 IRON ST,MELLEN,54546,ASHLAND,(715)274-2131,State Election Official,8-11-2020,MELLEN,"106 IRON ST, MELLEN, WI 54546-9798"
416684,00300550001,ASHLAND - TOWN OF AGENDA - WARD 001,AGENDA TOWN HALL,7:00 AM - 8:00 PM,13922 AGENDA RD,BUTTERNUT,54514,ASHLAND,715-769-3538,State Election Official,8-11-2020,AGENDA,"13922 AGENDA RD, BUTTERNUT, WI 54514-8681"
416350,00303250001,ASHLAND - TOWN OF ASHLAND - WARD 001,ASHLAND TOWN HALL,7:00 AM - 8:00 PM,39227 STATE HIGHWAY 13,HIGH BRIDGE,54846,ASHLAND,(715)661-0622,State Election Official,8-11-2020,ASHLAND,"39227 STATE HIGHWAY 13, HIGH BRIDGE, WI 54846-3308"
417348,00314550001,ASHLAND - TOWN OF CHIPPEWA - WARD 001,CHIPPEWA TOWN HALL,7:00 AM - 8:00 PM,77504 WEST RD,BUTTERNUT,54514,ASHLAND,(715) 769-3126,State Election Official,8-11-2020,CHIPPEWA,"77504 WEST RD, BUTTERNUT, WI 54514-9154"
415912,00329250001,ASHLAND - TOWN OF GINGLES - WARD 001,GINGLES TOWN HALL,7:00 AM - 8:00 PM,49833 STATE HIGHWAY 112,ASHLAND,54806,ASHLAND,(715)682-8297,State Election Official,8-11-2020,GINGLES,"49833 STATE HIGHWAY 112, ASHLAND, WI 54806-4411"
417493,00329875001,ASHLAND - TOWN OF GORDON - WARD 001,GORDON TOWN HALL,7:00 AM - 8:00 PM,24357 GORDON LAKE RD,GLIDDEN,54527,ASHLAND,715-264-2460,State Election Official,8-11-2020,GORDON,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155"
1578844,00329875002,ASHLAND - TOWN OF GORDON - WARD 002,GORDON TOWN HALL,7:00 AM - 8:00 PM,24357 GORDON LAKE RD,GLIDDEN,54527,ASHLAND,715-264-2460,State Election Official,8-11-2020,GORDON,"24357 GORDON LAKE RD, GLIDDEN, WI 54527-9155"
415329,00337775001,ASHLAND - TOWN OF JACOBS - WARD 001,JACOBS TOWN HALL,7:00 AM - 8:00 PM,23 N GRANT ST,GLIDDEN,54527,ASHLAND,(715)264-4851,State Election Official,8-11-2020,JACOBS,"23 N GRANT ST, GLIDDEN, WI 54527"
417304,00342562001,ASHLAND - TOWN OF LA POINTE - WARD 001,LA POINTE TOWN HALL,7:00 AM - 8:00 PM,240 BIG BAY RD,LA POINTE,54850,ASHLAND,715-747-6913,State Election Official,8-11-2020,LA POINTE,"240 BIG BAY RD, LA POINTE, WI 54850"
417771,00349200001,ASHLAND - TOWN OF MARENGO - WARD 001,MARENGO TOWN HALL,7:00 AM - 8:00 PM,63478 COUNTY HIGHWAY C,MARENGO,54855,ASHLAND,(715)278-3022,State Election Official,8-11-2020,MARENGO,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409"
1578845,00349200002,ASHLAND - TOWN OF MARENGO - WARD 002,MARENGO TOWN HALL,7:00 AM - 8:00 PM,63478 COUNTY HIGHWAY C,MARENGO,54855,ASHLAND,(715)278-3022,State Election Official,8-11-2020,MARENGO,"63478 COUNTY HIGHWAY C, MARENGO, WI 54855-2409"
417707,00354400001,ASHLAND - TOWN OF MORSE - WARD 001,MORSE TOWN HALL,7:00 AM - 8:00 PM,402 2ND AVE,MELLEN,54546,ASHLAND,(715) 274-2126,State Election Official,8-11-2020,MORSE,"402 2ND AVE, MELLEN, WI 54546-8904"
418166,00354400002,ASHLAND - TOWN OF MORSE - WARD 002,MORSE TOWN HALL,7:00 AM - 8:00 PM,402 2ND AVE,MELLEN,54546,ASHLAND,(715) 274-2126,State Election Official,8-11-2020,MORSE,"402 2ND AVE, MELLEN, WI 54546-8904"
1578846,00354400003,ASHLAND - TOWN OF MORSE - WARD 003,MORSE TOWN HALL,7:00 AM - 8:00 PM,402 2ND AVE,MELLEN,54546,ASHLAND,(715) 274-2126,State Election Official,8-11-2020,MORSE,"402 2ND AVE, MELLEN, WI 54546-8904"
418254,00361600001,ASHLAND - TOWN OF PEEKSVILLE - WARD 001,PEEKSVILLE TOWN HALL,7:00 AM - 8:00 PM,78746 PEEKSVILLE RD,BUTTERNUT,54514,ASHLAND,715-264-2418,State Election Official,8-11-2020,PEEKSVILLE,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195"
1578847,00361600002,ASHLAND - TOWN OF PEEKSVILLE - WARD 002,PEEKSVILLE TOWN HALL,7:00 AM - 8:00 PM,78746 PEEKSVILLE RD,BUTTERNUT,54514,ASHLAND,715-264-2418,State Election Official,8-11-2020,PEEKSVILLE,"78746 PEEKSVILLE RD, BUTTERNUT, WI 54514-9195"
415512,00371350001,ASHLAND - TOWN OF SANBORN - WARD 001,SANBORN TOWN HALL,7:00 AM - 8:00 PM,69393 LAKE SHORE DR E,ASHLAND,54806,ASHLAND,(715) 682-2677,State Election Official,8-11-2020,SANBORN,"69393 LAKE SHORE DR E, ASHLAND, WI 54806"
418043,00371350002,ASHLAND - TOWN OF SANBORN - WARD 002,SANBORN TOWN HALL,7:00 AM - 8:00 PM,69393 LAKE SHORE DR E,ASHLAND,54806,ASHLAND,(715) 682-2677,State Election Official,8-11-2020,SANBORN,"69393 LAKE SHORE DR E, ASHLAND, WI 54806"
418288,00372825001,ASHLAND - TOWN OF SHANAGOLDEN - WARD 001,SHANAGOLDEN TOWN HALL,7:00 AM - 8:00 PM,74268 MERTIG RD,GLIDDEN,54527,ASHLAND,715-264-5899,State Election Official,8-11-2020,SHANAGOLDEN,"74268 MERTIG RD, GLIDDEN, WI 54527-9737"
416592,00386850001,ASHLAND - TOWN OF WHITE RIVER - WARD 001,WHITE RIVER TOWN HALL,7:00 AM - 8:00 PM,61939 STATE HIGHWAY 112,ASHLAND,54806,ASHLAND,(715)209-8090,State Election Official,8-11-2020,WHITE RIVER,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806"
418274,00386850002,ASHLAND - TOWN OF WHITE RIVER - WARD 002,WHITE RIVER TOWN HALL,7:00 AM - 8:00 PM,61939 STATE HIGHWAY 112,ASHLAND,54806,ASHLAND,(715)209-8090,State Election Official,8-11-2020,WHITE RIVER,"61939 STATE HIGHWAY 112, ASHLAND, WI 54806"
418047,00311525001,ASHLAND - VILLAGE OF BUTTERNUT - WARD 001,BUTTERNUT VILLAGE HALL,7:00 AM - 8:00 PM,301 W MICHIGAN ST,BUTTERNUT,54514,ASHLAND,715-769-3113,State Election Official,8-11-2020,BUTTERNUT,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782"
418563,00311525002,ASHLAND - VILLAGE OF BUTTERNUT - WARD 002,BUTTERNUT VILLAGE HALL,7:00 AM - 8:00 PM,301 W MICHIGAN ST,BUTTERNUT,54514,ASHLAND,715-769-3113,State Election Official,8-11-2020,BUTTERNUT,"301 W MICHIGAN ST, BUTTERNUT, WI 54514-9782"
415141,00504875001,BARRON - CITY OF BARRON - WARD 001,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
415246,00504875002,BARRON - CITY OF BARRON - WARD 002,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
417157,00504875003,BARRON - CITY OF BARRON - WARD 003,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
416142,00504875004,BARRON - CITY OF BARRON - WARD 004,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
418544,00504875005,BARRON - CITY OF BARRON - WARD 005,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
418665,00504875006,BARRON - CITY OF BARRON - WARD 006,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
418709,00504875007,BARRON - CITY OF BARRON - WARD 007,BARRON CITY HALL,7:00 AM - 8:00 PM,1456 E LASALLE AVE,BARRON,54812,BARRON,715-537-5631,State Election Official,8-11-2020,BARRON,"1456 E LASALLE AVE, BARRON, WI 54812-1638"
416019,00514325001,BARRON - CITY OF CHETEK - WARD 001,CHETEK CITY HALL,7:00 AM - 8:00 PM,220 STOUT ST,CHETEK,54728,BARRON,715-924-4838,State Election Official,8-11-2020,CHETEK,"220 STOUT ST, CHETEK, WI 54728-8853"
417058,00514325002,BARRON - CITY OF CHETEK - WARD 002,CHETEK CITY HALL,7:00 AM - 8:00 PM,220 STOUT ST,CHETEK,54728,BARRON,715-924-4838,State Election Official,8-11-2020,CHETEK,"220 STOUT ST, CHETEK, WI 54728-8853"
417525,00514325003,BARRON - CITY OF CHETEK - WARD 003,CHETEK CITY HALL,7:00 AM - 8:00 PM,220 STOUT ST,CHETEK,54728,BARRON,715-924-4838,State Election Official,8-11-2020,CHETEK,"220 STOUT ST, CHETEK, WI 54728-8853"
416369,00514325004,BARRON - CITY OF CHETEK - WARD 004,CHETEK CITY HALL,7:00 AM - 8:00 PM,220 STOUT ST,CHETEK,54728,BARRON,715-924-4838,State Election Official,8-11-2020,CHETEK,"220 STOUT ST, CHETEK, WI 54728-8853"
414898,00518025001,BARRON - CITY OF CUMBERLAND - WARD 001,CUMBERLAND MUNICIPAL BUILDING,7:00 AM - 8:00 PM,950 1ST AVE,CUMBERLAND,54829,BARRON,715-822-2752,State Election Official,8-11-2020,CUMBERLAND,"950 1ST AVE, CUMBERLAND, WI 54829-9550"
417342,00518025002,BARRON - CITY OF CUMBERLAND - WARD 002,CUMBERLAND MUNICIPAL BUILDING,7:00 AM - 8:00 PM,950 1ST AVE,CUMBERLAND,54829,BARRON,715-822-2752,State Election Official,8-11-2020,CUMBERLAND,"950 1ST AVE, CUMBERLAND, WI 54829-9550"
